Sample Name*,Concentration* (ng/ul),Volume* (ul),Tube or Plate Label*,Sample Container*,Plate location (well #)* required if samples provided in a plate.,Sample Format*,Was Sample DNAse treated?*,Known / Suspected Organisms,Biosafety Material Category*,Sample Isolation Method*,Collection Year*,Collection Month*,Collection Day*,Sample Isolated From*,Collection Site or Growth Conditions* (required for RNA samples),Latitude*,Longitude*,Depth* (in meters) or minimum depth if a range,Maximum depth (in meters) if a range,Elevation* (in meters) or minimum elevation if a range,Maximum elevation (in meters) if a range,Country*,Sample Contact Name,Seq Project PI Name (No edit),Proposal ID (No edit),Control Type,Control Organism Name,Control Organism Tax ID,Internal Collaborator Sample Name
Uncultured microbe JGI Bright_BP4444_RexRM.1_I13,10,25,XUPVQ-3,384,I13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_I13
Uncultured microbe JGI Bright_BP4444_RexRM.1_K13,10,25,XUPVQ-3,384,K13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K13
Uncultured microbe JGI Bright_BP4444_RexRM.1_M13,10,25,XUPVQ-3,384,M13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M13
Uncultured microbe JGI Bright_BP4444_RexRM.1_O13,10,25,XUPVQ-3,384,O13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O13
Uncultured microbe JGI Bright_BP4444_RexRM.1_A15,10,25,XUPVQ-3,384,A15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_A15
Uncultured microbe JGI Bright_BP4444_RexRM.1_C15,10,25,XUPVQ-3,384,C15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C15
Uncultured microbe JGI Bright_BP4444_RexRM.1_E15,10,25,XUPVQ-3,384,E15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_E15
Uncultured microbe JGI Bright_BP4444_RexRM.1_G15,10,25,XUPVQ-3,384,G15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G15
Uncultured microbe JGI Bright_BP4444_RexRM.1_I15,10,25,XUPVQ-3,384,I15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_I15
Uncultured microbe JGI Bright_BP4444_RexRM.1_K15,10,25,XUPVQ-3,384,K15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K15
Uncultured microbe JGI Bright_BP4444_RexRM.1_M15,10,25,XUPVQ-3,384,M15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M15
Uncultured microbe JGI Bright_BP4444_RexRM.1_O15,10,25,XUPVQ-3,384,O15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O15
Uncultured microbe JGI Bright_BP4444_RexRM.1_C17,10,25,XUPVQ-3,384,C17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C17
Uncultured microbe JGI Bright_BP4444_RexRM.1_E17,10,25,XUPVQ-3,384,E17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_E17
Uncultured microbe JGI Bright_BP4444_RexRM.1_G17,10,25,XUPVQ-3,384,G17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G17
Uncultured microbe JGI Bright_BP4444_RexRM.1_K17,10,25,XUPVQ-3,384,K17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K17
Uncultured microbe JGI Bright_BP4444_RexRM.1_M17,10,25,XUPVQ-3,384,M17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M17
Uncultured microbe JGI Bright_BP4444_RexRM.1_O17,10,25,XUPVQ-3,384,O17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O17
Uncultured microbe JGI Bright_BP4444_RexRM.1_A19,10,25,XUPVQ-3,384,A19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_A19
Uncultured microbe JGI Bright_BP4444_RexRM.1_C19,10,25,XUPVQ-3,384,C19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C19
Uncultured microbe JGI Bright_BP4444_RexRM.1_E19,10,25,XUPVQ-3,384,E19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_E19
Uncultured microbe JGI Bright_BP4444_RexRM.1_G19,10,25,XUPVQ-3,384,G19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G19
Uncultured microbe JGI Bright_BP4444_RexRM.1_I19,10,25,XUPVQ-3,384,I19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_I19
Uncultured microbe JGI Bright_BP4444_RexRM.1_K19,10,25,XUPVQ-3,384,K19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K19
Uncultured microbe JGI Bright_BP4444_RexRM.1_M19,10,25,XUPVQ-3,384,M19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M19
Uncultured microbe JGI Bright_BP4444_RexRM.1_O19,10,25,XUPVQ-3,384,O19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O19
Uncultured microbe JGI Bright_BP4444_RexRM.1_A21,10,25,XUPVQ-3,384,A21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_A21
Uncultured microbe JGI Bright_BP4444_RexRM.1_C21,10,25,XUPVQ-3,384,C21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C21
Uncultured microbe JGI Bright_BP4444_RexRM.1_E21,10,25,XUPVQ-3,384,E21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_E21
Uncultured microbe JGI Bright_BP4444_RexRM.1_G21,10,25,XUPVQ-3,384,G21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G21
Uncultured microbe JGI Bright_BP4444_RexRM.1_I21,10,25,XUPVQ-3,384,I21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_I21
Uncultured microbe JGI empty_BP4444_RexRM.1_A23,10,25,XUPVQ-3,384,A23,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,negative,,,BP4444_RexRM.1_A23
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_A1,10,25,XUPVQ-6,384,A1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_B1,10,25,XUPVQ-6,384,B1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_C1,10,25,XUPVQ-6,384,C1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_D1,10,25,XUPVQ-6,384,D1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_E1,10,25,XUPVQ-6,384,E1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_F1,10,25,XUPVQ-6,384,F1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_G1,10,25,XUPVQ-6,384,G1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_H1,10,25,XUPVQ-6,384,H1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_I1,10,25,XUPVQ-6,384,I1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_J1,10,25,XUPVQ-6,384,J1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_K1,10,25,XUPVQ-6,384,K1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_L1,10,25,XUPVQ-6,384,L1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_M1,10,25,XUPVQ-6,384,M1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_N1,10,25,XUPVQ-6,384,N1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_O1,10,25,XUPVQ-6,384,O1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_P1,10,25,XUPVQ-6,384,P1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P1
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_A2,10,25,XUPVQ-6,384,A2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_B2,10,25,XUPVQ-6,384,B2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_C2,10,25,XUPVQ-6,384,C2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_D2,10,25,XUPVQ-6,384,D2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_E2,10,25,XUPVQ-6,384,E2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_F2,10,25,XUPVQ-6,384,F2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_G2,10,25,XUPVQ-6,384,G2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_H2,10,25,XUPVQ-6,384,H2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_I2,10,25,XUPVQ-6,384,I2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_J2,10,25,XUPVQ-6,384,J2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_K2,10,25,XUPVQ-6,384,K2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_L2,10,25,XUPVQ-6,384,L2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_M2,10,25,XUPVQ-6,384,M2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_N2,10,25,XUPVQ-6,384,N2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_O2,10,25,XUPVQ-6,384,O2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_P2,10,25,XUPVQ-6,384,P2,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P2
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_A3,10,25,XUPVQ-6,384,A3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_B3,10,25,XUPVQ-6,384,B3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_C3,10,25,XUPVQ-6,384,C3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_D3,10,25,XUPVQ-6,384,D3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_E3,10,25,XUPVQ-6,384,E3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_F3,10,25,XUPVQ-6,384,F3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_G3,10,25,XUPVQ-6,384,G3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_H3,10,25,XUPVQ-6,384,H3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_I3,10,25,XUPVQ-6,384,I3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_J3,10,25,XUPVQ-6,384,J3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_K3,10,25,XUPVQ-6,384,K3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_L3,10,25,XUPVQ-6,384,L3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_M3,10,25,XUPVQ-6,384,M3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_N3,10,25,XUPVQ-6,384,N3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_O3,10,25,XUPVQ-6,384,O3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_P3,10,25,XUPVQ-6,384,P3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P3
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_A4,10,25,XUPVQ-6,384,A4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_B4,10,25,XUPVQ-6,384,B4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_C4,10,25,XUPVQ-6,384,C4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_D4,10,25,XUPVQ-6,384,D4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_E4,10,25,XUPVQ-6,384,E4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_F4,10,25,XUPVQ-6,384,F4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_G4,10,25,XUPVQ-6,384,G4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_H4,10,25,XUPVQ-6,384,H4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_I4,10,25,XUPVQ-6,384,I4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_J4,10,25,XUPVQ-6,384,J4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_K4,10,25,XUPVQ-6,384,K4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_K4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_L4,10,25,XUPVQ-6,384,L4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_L4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_M4,10,25,XUPVQ-6,384,M4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_M4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_N4,10,25,XUPVQ-6,384,N4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_N4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_O4,10,25,XUPVQ-6,384,O4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_O4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_P4,10,25,XUPVQ-6,384,P4,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_P4
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_A5,10,25,XUPVQ-6,384,A5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_A5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_B5,10,25,XUPVQ-6,384,B5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_B5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_C5,10,25,XUPVQ-6,384,C5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_C5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_D5,10,25,XUPVQ-6,384,D5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_D5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_E5,10,25,XUPVQ-6,384,E5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_E5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_F5,10,25,XUPVQ-6,384,F5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_F5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_G5,10,25,XUPVQ-6,384,G5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_G5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_H5,10,25,XUPVQ-6,384,H5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_H5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_I5,10,25,XUPVQ-6,384,I5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_I5
Uncultured microbe JGI BRIGHT_BP9735_FULL.1_J5,10,25,XUPVQ-6,384,J5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_FULL.1_J5
